AssetName, MemCost.Asset, MemCost.Inst, Tgt MemCost.Asset, Tgt MemCost.Inst
/CRP_Covert/SetupAssets/Maps/PID_CP_Covert_Gallery_Drill_b, 4211824, 262960, 4211824, 262960
/CRP_Covert/SetupAssets/Maps/PID_CP_Covert_L_Drill_a, 17332207, 3135496, 17332207, 3135496
/CRP_Covert/SetupAssets/Maps/PID_CP_Covert_L_Tower_a, 19349841, 4261228, 19349841, 4261228
/CRP_Covert/SetupAssets/Maps/PID_CP_Covert_M_BlimpDock_a, 11648196, 2147080, 11648196, 2147080
/CRP_Covert/SetupAssets/Maps/PID_CP_Covert_M_Cargo_a, 13362190, 1516280, 13362190, 1516280
/CRP_Covert/SetupAssets/Maps/PID_CP_Covert_XL_Blimp_a, 23621475, 5348226, 23621475, 5348224
/CRP_Covert/SetupAssets/Maps/PID_CP_Covert_XL_HQ_a, 49440154, 13269362, 49440154, 13269368
/CRP_Covert/SetupAssets/Maps/PID_CP_Props_Covert_a, 39021107, 1550068, 39021107, 1550068
/CRP_Covert/SetupAssets/Maps/PID_CP_Props_Covert_b, 5367962, 95344, 5367962, 95344
/CRP_Foundation/SetupAssets/Maps/PID_CP_Foundation_3x3_CliffHouse_a, 15751310, 1164306, 15751310, 1164306
/CRP_Foundation/SetupAssets/Maps/PID_CP_Foundation_3x3_GenericHouse_e, 9553270, 837444, 9553270, 837444
/CRP_Foundation/SetupAssets/Maps/PID_CP_Foundation_3x3_House_a, 13025530, 1468701, 13025530, 1468700
/CRP_Foundation/SetupAssets/Maps/PID_CP_Foundation_S_House_a, 1720598, 801503, 1720598, 801524
/CRP_Foundation/SetupAssets/Maps/PID_CP_Foundation_S_House_b, 2221207, 125472, 2221207, 125472
/CRP_Foundation/SetupAssets/Maps/PID_CP_Foundation_S_House_c, 7099494, 382892, 7099494, 382892
/CRP_GardenPartyHG/SetupAssets/Maps/PID_CP_Props_GardenPartyHG_a, 4985431, 81600, 4985431, 81600
/CRP_GardenPartyHG/SetupAssets/Maps/PID_CP_Props_GardenPartyHG_b, 4769243, 280980, 4769243, 280980
/CRP_GasStation/SetupAssets/Maps/PID_CP_GasStation_Gallery_a, 4329006, 392184, 4329006, 392188
/CRP_GasStation/SetupAssets/Maps/PID_CP_GasStation_M_Spillexx_a, 12102874, 1167504, 12102874, 1167504
/CRP_GasStation/SetupAssets/Maps/PID_CP_GasStation_M_Station_a, 12639939, 1254193, 12639939, 1254196
/CRP_LazyLinks/SetupAssets/PID_CP_LazyLinks_L_Clubhouse_aa, 10657750, 2686460, 10657750, 2686464
/CRP_LazyLinks/SetupAssets/PID_CP_LazyLinks_S_Garage_aa, 2064061, 544507, 2064061, 544508
/CRP_LazyLinks/SetupAssets/PID_CP_LazyLinks_S_ProShop_aa, 6650791, 521870, 6650791, 521872
/CRP_Spire/SetupAssets/PID_CP_Spire_L_Inn_a, 18756738, 2984014, 18756738, 2984016
/CRP_Spire/SetupAssets/PID_CP_Spire_M_Building_a, 12867464, 1592384, 12867464, 1592384
/CRP_Spire/SetupAssets/PID_CP_Spire_M_Gatehouse_a, 13887460, 2279047, 13887460, 2279048
/CRP_Spire/SetupAssets/PID_CP_Spire_S_Blacksmith_a, 9425075, 779984, 9425075, 779984
/CRP_Spire/SetupAssets/PID_CP_Spire_S_House_a, 8047880, 762848, 8047880, 762848
/CRP_Spire/SetupAssets/PID_CP_Spire_S_Shop_a, 7921252, 970338, 7921252, 970344
/CRP_TorchLight/SetUpAssets/PID_CP_Props_M_Military_Lights_TorchLight, 1913712, 138360, 1913712, 138360
/CRP_TorchLight/SetUpAssets/PID_CP_Props_S_Ambient_b_Torchlight, 3393764, 93304, 3393764, 93304
/CRP_TorchLight/SetUpAssets/PID_PG_Props_S_Ambient_a_Torchlight, 3673584, 110876, 3673584, 110876
/CRP_TRV/SetupAssets/PID_CP_TRV_XL_Castle_a, 54039533, 8885184, 54039533, 8885284
/CRP_TRV/SetupAssets/PID_CP_TRV_XL_Castle_b, 54316102, 5392506, 54316102, 5392512
/CRP_TRV/SetupAssets/PID_CP_TRV_XL_Castle_c, 48653232, 5891629, 48653232, 5891640
/CRP_TRV/SetupAssets/PID_CP_TRV_XL_Castle_d, 61913132, 9886297, 61913132, 9886316
/CRP_Turbo/SetupAssets/Maps/PID_CP_Props_Turbo_a, 553558, 67200, 553558, 67200
/Game/Playsets/PID_016_Athena_SpikyStadium, 8263852, 4712240, 8263852, 4712308
/Game/Playsets/PID_019_PC_Device_Radio, 389564, 11468, 389564, 11468
/Game/Playsets/PID_019_PG_Arctic_Gallery_a, 10655928, 253788, 10655928, 253788
/Game/Playsets/PID_019_PG_Arctic_Gallery_b, 4727008, 136352, 4727008, 136352
/Game/Playsets/PID_019_PG_Arctic_Gallery_c, 10085889, 217752, 10085889, 217752
/Game/Playsets/PID_019_PG_Arctic_L_Explorer_a, 16090179, 3297288, 16090179, 3297288
/Game/Playsets/PID_019_PG_Arctic_L_Explorer_b, 15415858, 3247088, 15415858, 3247096
/Game/Playsets/PID_019_PG_Arctic_M_Explorer_a, 6684812, 771976, 6684812, 771976
/Game/Playsets/PID_019_PG_Arctic_M_Explorer_b, 8255560, 1255259, 8255560, 1255260
/Game/Playsets/PID_019_PG_Arctic_S_Hanger_a, 6917455, 757715, 6917455, 757716
/Game/Playsets/PID_019_PG_Arctic_S_Outpost_d, 5820843, 312216, 5820843, 312216
/Game/Playsets/PID_019_PG_Arctic_S_Outpost_e, 5538520, 335692, 5538520, 335692
/Game/Playsets/PID_019_PG_Arctic_S_Outpost_f, 11088937, 925172, 11088937, 925172
/Game/Playsets/PID_019_PG_Factories_Gallery_a, 4299918, 719742, 4299918, 719744
/Game/Playsets/PID_019_PG_Factories_Gallery_b, 1440346, 123964, 1440346, 123964
/Game/Playsets/PID_019_PG_Factories_Gallery_c, 867792, 148512, 867792, 148512
/Game/Playsets/PID_019_PG_Factories_L_DCE_001, 13691291, 3790273, 13691291, 3790284
/Game/Playsets/PID_019_PG_Factories_L_DCE_001_G, 3793326, 399896, 3793326, 399896
/Game/Playsets/PID_019_PG_Factories_M_Factory_b, 5439116, 1502330, 5439116, 1502332
/Game/Playsets/PID_019_PG_Factories_M_Factory_b_G, 2134989, 188156, 2134989, 188156
/Game/Playsets/PID_019_PG_Factories_M_Factory_e, 2796337, 1147537, 2796337, 1147544
/Game/Playsets/PID_019_PG_Factories_M_Factory_e_G, 1273120, 87600, 1273120, 87600
/Game/Playsets/PID_019_PG_Factories_M_Factory_g, 6708203, 1215695, 6708203, 1215696
/Game/Playsets/PID_019_PG_Factories_M_Factory_g_G, 1989542, 195468, 1989542, 195468
/Game/Playsets/PID_019_PG_Factories_M_Factory_g_GP, 4877154, 282320, 4877154, 282320
/Game/Playsets/PID_019_PG_Factories_S_Garage_a, 2686019, 325204, 2686019, 325204
/Game/Playsets/PID_019_PG_Factories_S_Garage_a_G, 1568168, 99044, 1568168, 99044
/Game/Playsets/PID_019_PG_Factories_S_Garage_a_GP, 2686019, 325204, 2686019, 325204
/Game/Playsets/PID_019_PG_Factories_S_SubStation_b, 6273707, 224562, 6273707, 224568
/Game/Playsets/PID_019_PG_Farmstead_Gallery_a, 5154631, 223040, 5154631, 223040
/Game/Playsets/PID_019_PG_Farmstead_M_Barn_a, 11262153, 1325786, 11262153, 1325784
/Game/Playsets/PID_019_PG_Farmstead_M_FarmHouse, 10167756, 1640907, 10167756, 1640924
/Game/Playsets/PID_019_PG_Farmstead_S_Shack_a, 4296440, 226125, 4296440, 226128
/Game/Playsets/PID_019_PG_Farmstead_S_ShedAndField, 5811931, 1026648, 5811931, 1026644
/Game/Playsets/PID_019_PG_Farmstead_S_Silo_a, 1473296, 37576, 1473296, 37576
/Game/Playsets/PID_019_PG_Farmstead_S_Stables_a, 9076216, 951387, 9076216, 951388
/Game/Playsets/PID_019_PG_IceCastle_L_Fort_a, 10440771, 4069080, 10440771, 4069080
/Game/Playsets/PID_019_PG_IceCastle_L_Fort_b, 12005576, 4313743, 12005576, 4313736
/Game/Playsets/PID_019_PG_IceCastle_L_Tower_a, 10820886, 3174650, 10820886, 3174656
/Game/Playsets/PID_019_PG_IceCastle_M_Fort_a, 11227937, 2397649, 11227937, 2397656
/Game/Playsets/PID_019_PG_IceCastle_S_Archway, 6364505, 777958, 6364505, 777960
/Game/Playsets/PID_019_PG_IceCastle_S_Building_a, 4404412, 402495, 4404412, 402496
/Game/Playsets/PID_019_PG_IceCastle_S_Cellar_a, 6733970, 1057979, 6733970, 1057992
/Game/Playsets/PID_019_PG_IceCastle_S_Gallery_a, 6049147, 197064, 6049147, 197064
/Game/Playsets/PID_019_PG_IceCastle_S_Gallery_b, 5803915, 103480, 5803915, 103480
/Game/Playsets/PID_019_PG_IceCastle_S_Gallery_c, 6053197, 197280, 6053197, 197280
/Game/Playsets/PID_019_PG_IceCastle_S_Gallery_d, 5939612, 100752, 5939612, 100752
/Game/Playsets/PID_019_PG_IceCastle_S_Ice_Gallery, 1003386, 126480, 1003386, 126480
/Game/Playsets/PID_019_PG_IceCastle_S_Stables_a, 7764727, 1102453, 7764727, 1102456
/Game/Playsets/PID_019_PG_IceCastle_S_Tower_a, 2914196, 242183, 2914196, 242184
/Game/Playsets/PID_019_PG_IceCastle_XL_Castle_a, 20891980, 7105572, 20891980, 7105576
/Game/Playsets/PID_019_PG_LuckyLanding_L_Tower_b, 7979826, 1538911, 7979826, 1538924
/Game/Playsets/PID_019_PG_LuckyLanding_L_Tower_b_G, 5596227, 253654, 5596227, 253656
/Game/Playsets/PID_019_PG_LuckyLanding_L_Tower_b_GP, 7979826, 1538911, 7979826, 1538924
/Game/Playsets/PID_019_PG_LuckyLanding_M_Commerical_a, 14736685, 1591315, 14736685, 1591320
/Game/Playsets/PID_019_PG_LuckyLanding_M_Commerical_a_G, 3521916, 266820, 3521916, 266824
/Game/Playsets/PID_019_PG_LuckyLanding_M_Commerical_b, 4877107, 687824, 4877107, 687828
